DATE-TIME	Latitude	Longitude	Depth	Magnitude
yyyy-mm-dd_hh:mm:ss	degrees	degrees	km	MI
2020-06-02_12:05:04	36.589	50.226	8.0	2.8
2020-06-02_09:15:51	35.784	52.045	12.1	2.9
2020-06-01_22:50:10	36.694	49.788	14.9	2.9
2020-06-01_14:21:16	35.785	52.013	10.6	2.6
2020-05-31_01:38:48	36.417	51.320	15.4	3.0
2020-05-29_17:38:33	34.970	50.134	10.0	2.7
2020-05-29_17:37:56	34.981	50.121	10.0	2.5
2020-05-27_09:11:37	35.778	52.035	12.4	4.0
2020-05-25_16:00:54	36.430	51.755	9.3	3.6
2020-05-23_17:44:07	35.783	52.035	10.0	2.5
2020-05-22_02:23:05	35.926	52.215	8.0	2.6
2020-05-19_20:20:36	35.793	52.007	9.4	2.7
2020-05-18_07:44:07	35.797	52.007	12.0	2.7
2020-05-17_23:50:02	35.779	52.021	12.0	2.9
2020-05-16_06:32:56	35.549	49.716	6.4	2.5
2020-05-15_13:56:16	34.781	50.625	8.0	2.9
2020-05-15_12:34:25	38.210	48.894	12.0	2.8
2020-05-12_08:16:55	35.798	51.992	13.5	2.5
2020-05-10_08:09:13	35.783	52.042	10.0	2.8
2020-05-09_22:23:59	35.780	52.023	12.0	2.7
2020-05-09_22:21:23	35.756	52.040	8.0	3.7
2020-05-09_22:18:03	35.773	52.038	12.7	3.0
2020-05-09_12:11:30	35.779	51.997	8.4	3.1
2020-05-09_05:41:14	36.838	49.370	8.0	2.9
2020-05-09_00:30:48	35.786	52.044	11.0	2.8
2020-05-08_22:40:47	36.843	52.074	8.0	2.9
2020-05-08_22:05:43	36.851	52.059	8.0	2.6
2020-05-08_18:58:32	35.779	52.033	12.0	2.5
2020-05-08_17:15:13	36.807	52.056	10.0	2.8
2020-05-08_07:17:06	35.762	52.084	10.0	2.9
2020-05-07_22:43:03	37.772	48.246	8.0	2.9
2020-05-07_22:38:35	35.778	52.081	8.0	2.6
2020-05-07_22:22:06	35.774	52.026	7.5	3.3
2020-05-07_21:57:39	35.783	52.055	14.8	2.7
2020-05-07_21:49:13	35.765	52.026	8.0	3.7
2020-05-07_21:04:27	35.783	52.018	12.0	2.5
2020-05-07_20:42:05	35.765	52.015	11.4	2.5
2020-05-07_20:18:21	35.776	52.046	10.7	5.0
2020-05-07_19:00:16	35.784	52.038	10.0	2.9
2020-05-07_13:45:02	36.886	49.221	10.0	2.9
2020-05-05_08:18:46	37.244	48.684	10.0	2.7
