DATE-TIME	Latitude	Longitude	Depth	Magnitude
yyyy-mm-dd_hh:mm:ss	degrees	degrees	km	MI
2020-06-02_09:15:51	35.784	52.045	12.1	2.9
2020-06-01_14:21:16	35.785	52.013	10.6	2.6
2020-06-01_11:13:54	37.244	53.975	10.0	2.6
2020-06-01_01:04:36	35.631	52.622	9.2	2.9
2020-05-31_01:38:48	36.417	51.320	15.4	3.0
2020-05-29_17:38:33	34.970	50.134	10.0	2.7
2020-05-29_17:37:56	34.981	50.121	10.0	2.5
2020-05-27_09:11:37	35.778	52.035	12.4	4.0
2020-05-25_16:00:54	36.430	51.755	9.3	3.6
2020-05-23_17:44:07	35.783	52.035	10.0	2.5
2020-05-22_02:23:05	35.926	52.215	8.0	2.6
2020-05-19_20:20:36	35.793	52.007	9.4	2.7
2020-05-18_12:48:45	36.295	53.499	5.0	3.1
2020-05-18_09:31:39	36.311	53.491	10.0	2.9
2020-05-18_07:44:07	35.797	52.007	12.0	2.7
2020-05-17_23:50:02	35.779	52.021	12.0	2.9
2020-05-15_13:56:16	34.781	50.625	8.0	2.9
2020-05-12_08:16:55	35.798	51.992	13.5	2.5
2020-05-10_08:09:13	35.783	52.042	10.0	2.8
2020-05-09_22:23:59	35.780	52.023	12.0	2.7
2020-05-09_22:21:23	35.756	52.040	8.0	3.7
2020-05-09_22:18:03	35.773	52.038	12.7	3.0
2020-05-09_12:11:30	35.779	51.997	8.4	3.1
2020-05-09_00:30:48	35.786	52.044	11.0	2.8
2020-05-08_22:40:47	36.843	52.074	8.0	2.9
2020-05-08_22:05:43	36.851	52.059	8.0	2.6
2020-05-08_18:58:32	35.779	52.033	12.0	2.5
2020-05-08_17:15:13	36.807	52.056	10.0	2.8
2020-05-08_07:17:06	35.762	52.084	10.0	2.9
2020-05-07_22:38:35	35.778	52.081	8.0	2.6
2020-05-07_22:22:06	35.774	52.026	7.5	3.3
2020-05-07_21:57:39	35.783	52.055	14.8	2.7
2020-05-07_21:49:13	35.765	52.026	8.0	3.7
2020-05-07_21:04:27	35.783	52.018	12.0	2.5
2020-05-07_20:42:05	35.765	52.015	11.4	2.5
2020-05-07_20:18:21	35.777	52.045	7.4	5.1
2020-05-07_19:00:16	35.784	52.038	10.0	2.9
2020-04-27_19:48:13	35.485	52.454	9.2	2.5
2020-04-22_06:31:09	35.484	52.457	7.6	2.7
2020-04-21_11:27:06	34.773	50.647	8.0	2.9
2020-04-21_10:32:49	34.479	50.764	8.0	3.4
2020-04-20_20:48:02	34.805	50.685	8.0	3.5
2020-04-18_01:15:24	37.272	50.166	16.0	2.5
2020-04-17_10:17:56	34.675	50.603	7.1	3.5
2020-04-11_06:09:47	37.586	50.369	8.3	2.8
2020-04-10_12:39:49	36.017	53.550	8.9	2.8
